"","days","1","2","3","4","5"
"146",10586,1113.366093,639.004033,538.316595,637.901511,669.834461
"147",10659,0,0,0,0,0
"148",10732,0,0,0,0,0
"149",10805,0,0,0,0,0
"150",10878,0,0,0,0,0
"151",10951,1113.366093,639.004033,538.316595,637.901511,669.834461
"152",11024,0,0,0,0,0
"153",11097,0,0,0,0,0
"154",11170,0,0,0,0,0
"155",11243,0,0,0,0,0
"156",11316,1113.366093,639.004033,538.316595,637.901511,669.834461
"157",11389,0,0,0,0,0
"158",11462,0,0,0,0,0
"159",11535,0,0,0,0,0
"160",11608,0,0,0,0,0
"161",11681,1113.366093,639.004033,538.316595,637.901511,669.834461
"162",11754,0,0,0,0,0
"163",11827,0,0,0,0,0
"164",11900,0,0,0,0,0
"165",11973,0,0,0,0,0
"166",12046,1113.366093,639.004033,538.316595,637.901511,669.834461
"167",12119,0,0,0,0,0
"168",12192,0,0,0,0,0
"169",12265,0,0,0,0,0
"170",12338,0,0,0,0,0
"171",12411,1113.366093,639.004033,538.316595,637.901511,669.834461
"172",12484,0,0,0,0,0
"173",12557,0,0,0,0,0
"174",12630,0,0,0,0,0
"175",12703,0,0,0,0,0
"176",12776,1113.366093,639.004033,538.316595,637.901511,669.834461
"177",12849,0,0,0,0,0
"178",12922,0,0,0,0,0
"179",12995,0,0,0,0,0
"180",13068,0,0,0,0,0
"181",13141,1113.366093,639.004033,538.316595,637.901511,669.834461
"182",13214,0,0,0,0,0
"183",13287,0,0,0,0,0
"184",13360,0,0,0,0,0
"185",13433,0,0,0,0,0
"186",13506,1113.366093,639.004033,538.316595,637.901511,669.834461
"187",13579,0,0,0,0,0
"188",13652,0,0,0,0,0
"189",13725,0,0,0,0,0
"190",13798,0,0,0,0,0
"191",13871,1113.366093,639.004033,538.316595,637.901511,669.834461
"192",13944,0,0,0,0,0
"193",14017,0,0,0,0,0
"194",14090,0,0,0,0,0
"195",14163,0,0,0,0,0
"196",14236,1113.366093,639.004033,538.316595,637.901511,669.834461
"197",14309,0,0,0,0,0
"198",14382,0,0,0,0,0
"199",14455,0,0,0,0,0
"200",14528,0,0,0,0,0
"201",14601,1113.366093,639.004033,538.316595,637.901511,669.834461
"202",14674,0,0,0,0,0
"203",14747,0,0,0,0,0
"204",14820,0,0,0,0,0
"205",14893,0,0,0,0,0
"206",14966,1113.366093,639.004033,538.316595,637.901511,669.834461
"207",15039,0,0,0,0,0
"208",15112,0,0,0,0,0
"209",15185,0,0,0,0,0
"210",15258,0,0,0,0,0
"211",15331,1113.366093,639.004033,538.316595,637.901511,669.834461
"212",15404,0,0,0,0,0
"213",15477,0,0,0,0,0
"214",15550,0,0,0,0,0
"215",15623,0,0,0,0,0
"216",15696,1113.366093,639.004033,538.316595,637.901511,669.834461
"217",15769,0,0,0,0,0
"218",15842,0,0,0,0,0
"219",15915,0,0,0,0,0
"220",15988,0,0,0,0,0
"221",16061,1113.366093,639.004033,538.316595,637.901511,669.834461
"222",16134,0,0,0,0,0
"223",16207,0,0,0,0,0
"224",16280,0,0,0,0,0
"225",16353,0,0,0,0,0
"226",16426,1113.366093,639.004033,538.316595,637.901511,669.834461
"227",16499,0,0,0,0,0
"228",16572,0,0,0,0,0
"229",16645,0,0,0,0,0
"230",16718,0,0,0,0,0
"231",16791,1113.366093,639.004033,538.316595,637.901511,669.834461
"232",16864,0,0,0,0,0
"233",16937,0,0,0,0,0
"234",17010,0,0,0,0,0
"235",17083,0,0,0,0,0
"236",17156,1113.366093,639.004033,538.316595,637.901511,669.834461
"237",17229,0,0,0,0,0
"238",17302,0,0,0,0,0
"239",17375,0,0,0,0,0
"240",17448,0,0,0,0,0
"241",17521,1113.366093,639.004033,538.316595,637.901511,669.834461
"242",17594,0,0,0,0,0
"243",17667,0,0,0,0,0
"244",17740,0,0,0,0,0
"245",17813,0,0,0,0,0
"246",17886,1113.366093,639.004033,538.316595,637.901511,669.834461
"247",17959,0,0,0,0,0
"248",18032,0,0,0,0,0
"249",18105,0,0,0,0,0
"250",18178,0,0,0,0,0
"251",18251,1113.366093,639.004033,538.316595,637.901511,669.834461
"252",18324,0,0,0,0,0
"253",18397,0,0,0,0,0
"254",18470,0,0,0,0,0
"255",18543,0,0,0,0,0
"256",18616,1113.366093,639.004033,538.316595,637.901511,669.834461
"257",18689,0,0,0,0,0
"258",18762,0,0,0,0,0
"259",18835,0,0,0,0,0
"260",18908,0,0,0,0,0
"261",18981,1113.366093,639.004033,538.316595,637.901511,669.834461
"262",19054,0,0,0,0,0
"263",19127,0,0,0,0,0
"264",19200,0,0,0,0,0
"265",19273,0,0,0,0,0
"266",19346,1113.366093,639.004033,538.316595,637.901511,669.834461
"267",19419,0,0,0,0,0
"268",19492,0,0,0,0,0
"269",19565,0,0,0,0,0
"270",19638,0,0,0,0,0
"271",19711,1113.366093,639.004033,538.316595,637.901511,669.834461
"272",19784,0,0,0,0,0
"273",19857,0,0,0,0,0
"274",19930,0,0,0,0,0
"275",20003,0,0,0,0,0
"276",20076,1113.366093,639.004033,538.316595,637.901511,669.834461
"277",20149,0,0,0,0,0
"278",20222,0,0,0,0,0
"279",20295,0,0,0,0,0
"280",20368,0,0,0,0,0
"281",20441,1113.366093,639.004033,538.316595,637.901511,669.834461
"282",20514,0,0,0,0,0
"283",20587,0,0,0,0,0
"284",20660,0,0,0,0,0
"285",20733,0,0,0,0,0
"286",20806,1113.366093,639.004033,538.316595,637.901511,669.834461
"287",20879,0,0,0,0,0
"288",20952,0,0,0,0,0
"289",21025,0,0,0,0,0
"290",21098,0,0,0,0,0
"291",21171,1113.366093,639.004033,538.316595,637.901511,669.834461
"292",21244,0,0,0,0,0
"293",21317,0,0,0,0,0
"294",21390,0,0,0,0,0
"295",21463,0,0,0,0,0
"296",21536,1113.366093,639.004033,538.316595,637.901511,669.834461
"297",21609,0,0,0,0,0
"298",21682,0,0,0,0,0
"299",21755,0,0,0,0,0
"300",21828,0,0,0,0,0
"301",21901,1113.366093,639.004033,538.316595,637.901511,669.834461
"302",21974,0,0,0,0,0
"303",22047,0,0,0,0,0
"304",22120,0,0,0,0,0
"305",22193,0,0,0,0,0
"306",22266,1113.366093,639.004033,538.316595,637.901511,669.834461
"307",22339,0,0,0,0,0
"308",22412,0,0,0,0,0
"309",22485,0,0,0,0,0
"310",22558,0,0,0,0,0
"311",22631,1113.366093,639.004033,538.316595,637.901511,669.834461
"312",22704,0,0,0,0,0
"313",22777,0,0,0,0,0
"314",22850,0,0,0,0,0
"315",22923,0,0,0,0,0
"316",22996,1113.366093,639.004033,538.316595,637.901511,669.834461
"317",23069,0,0,0,0,0
"318",23142,0,0,0,0,0
"319",23215,0,0,0,0,0
"320",23288,0,0,0,0,0
"321",23361,1113.366093,639.004033,538.316595,637.901511,669.834461
"322",23434,0,0,0,0,0
"323",23507,0,0,0,0,0
"324",23580,0,0,0,0,0
"325",23653,0,0,0,0,0
"326",23726,1113.366093,639.004033,538.316595,637.901511,669.834461
"327",23799,0,0,0,0,0
"328",23872,0,0,0,0,0
"329",23945,0,0,0,0,0
"330",24018,0,0,0,0,0
"331",24091,1113.366093,639.004033,538.316595,637.901511,669.834461
"332",24164,0,0,0,0,0
"333",24237,0,0,0,0,0
"334",24310,0,0,0,0,0
"335",24383,0,0,0,0,0
"336",24456,1113.366093,639.004033,538.316595,637.901511,669.834461
"337",24529,0,0,0,0,0
"338",24602,0,0,0,0,0
