"","length","c.k2...0.00366568335749085..alpha21...0.826347964041474.","c.k2...0.00200949342312364..alpha21...0.9994213762695.","c.k2...0.00313143610122091..alpha21...0.997359012830213.","c.k2...0.00109580759332816..alpha21...0.993050649802268."
"k2",5,0.00366568335749085,0.00200949342312364,0.00313143610122091,0.00109580759332816
"alpha21",5,0.826347964041474,0.9994213762695,0.997359012830213,0.993050649802268
