"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"175",12703,1145.37573763291,1145.41728626754,1058.99492067898,1059.10073123708,1151.00746254677,1151.05794846251,1187.57723319879,1187.62523977017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",12776,1145.38822227122,1145.42778084743,1059.010123094,1059.11139122578,1151.0201614636,1151.06847910825,1187.60089996591,1187.64715895184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",12849,1145.40017003053,1145.43782412713,1059.02467175699,1059.12159273606,1151.03231428678,1151.07855690287,1187.6235488501,1187.66812161276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",12922,1145.41160399833,1145.44743551399,1059.03859478135,1059.13135549018,1151.04394450006,1151.08820132039,1187.64522363356,1187.68816950247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",12995,1145.4225462693,1145.45663358077,1059.05191907153,1059.1406983617,1151.05507457732,1151.0974309974,1187.66596621502,1187.70734254786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",13068,1145.43301798794,1145.46543610153,1059.064670375,1059.14963941203,1151.065726026,1151.10626376906,1187.68581669071,1187.72567893282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",13141,1145.44303938951,1145.47386008601,1059.076873332,1059.15819592535,1151.07591942864,1151.11471670356,1187.70481343199,1187.74321517429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",13214,1145.45262983906,1145.48192181247,1059.08855152318,1059.16638444216,1151.08567448267,1151.12280613509,1187.72299315954,1187.75998619508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",13287,1145.4618078689,1145.48963685915,1059.09972751512,1059.17422079124,1151.09501003847,1151.13054769544,1187.7403910144,1187.77602539347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",13360,1145.47059121438,1145.49702013439,1059.110422904,1059.18172012034,1151.1039441358,1151.13795634417,1187.75704062593,1187.79136470976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",13433,1145.47899684818,1145.50408590539,1059.12065835725,1059.18889692547,1151.11249403864,1151.14504639753,1187.77297417684,1187.80603468995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",13506,1145.48704101309,1145.51084782586,1059.13045365359,1059.19576507896,1151.12067626857,1151.15183155613,1187.78822246547,1187.82006454658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",13579,1145.49473925343,1145.51731896233,1059.13982772114,1059.20233785635,1151.12850663669,1151.15832493142,1187.80281496532,1187.83348221703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",13652,1145.50210644504,1145.52351181942,1059.14879867408,1059.20862796202,1151.13600027417,1151.16453907099,1187.81677988208,1187.84631441909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",13725,1145.50915682407,1145.52943836404,1059.15738384761,1059.2146475538,1151.1431716615,1151.17048598288,1187.83014420816,1187.85858670432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",13798,1145.51590401447,1145.53511004847,1059.16559983149,1059.22040826652,1151.15003465645,1151.17617715872,1187.84293377488,1187.87032350886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",13871,1145.52236105431,1145.5405378325,1059.17346250202,1059.22592123447,1151.15660252088,1151.18162359597,1187.85517330245,1187.88154820222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",13944,1145.52854042097,1145.54573220462,1059.1809870528,1059.231197113,1151.16288794634,1151.18683581916,1187.86688644775,1187.89228313378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",14017,1145.5344540553,1145.55070320228,1059.18818802407,1059.23624609907,1151.16890307858,1151.19182390023,1187.87809585009,1187.9025496774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",14090,1145.54011338461,1145.55546043129,1059.19507933075,1059.24107795103,1151.17465954108,1151.19659747802,1187.888823175,1187.91236827394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",14163,1145.54552934483,1145.56001308438,1059.2016742894,1059.24570200744,1151.18016845746,1151.20116577685,1187.89908915608,1187.92175847202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",14236,1145.5507124016,1145.56436995897,1059.20798564394,1059.2501272052,1151.18544047298,1151.20553762435,1187.90891363512,1187.930738967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",14309,1145.55567257052,1145.56853947415,1059.21402559024,1059.25436209678,1151.19048577513,1151.20972146855,1187.91831560049,1187.93932763819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",14382,1145.56041943645,1145.57252968696,1059.21980579971,1059.25841486678,1151.1953141133,1151.2137253942,1187.92731322379,1187.94754158451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",14455,1145.56496217211,1145.57634830799,1059.22533744186,1059.26229334775,1151.19993481763,1151.21755713837,1187.93592389505,1187.95539715854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",14528,1145.56930955575,1145.58000271621,1059.23063120588,1059.26600503535,1151.20435681704,1151.22122410539,1187.94416425633,1187.9629099991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",14601,1145.57346998811,1145.5834999733,1059.23569732126,1059.26955710284,1151.20858865647,1151.22473338122,1187.95205023385,1187.97009506243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",14674,1145.57745150871,1145.58684683725,1059.24054557764,1059.27295641495,1151.21263851339,1151.22809174706,1187.95959706888,1187.97696665197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",14747,1145.5812618113,1145.59004977545,1059.24518534363,1059.27620954114,1151.21651421364,1151.23130569254,1187.9668193471,1187.98353844687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",14820,1145.58490825881,1145.59311497717,1059.24962558498,1059.27932276833,1151.22022324649,1151.23438142818,1187.97373102688,1187.98982352924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",14893,1145.58839789753,1145.59604836549,1059.25387488189,1059.28230211302,1151.22377277918,1151.23732489744,1187.98034546623,1187.99583441022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",14966,1145.59173747072,1145.59885560883,1059.25794144556,1059.28515333296,1151.22716967072,1151.24014178819,1187.98667544861,1188.00158305487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",15039,1145.59493343169,1145.60154213181,1059.26183313412,1059.28788193824,1151.23042048517,1151.24283754373,1187.99273320769,1188.00708090606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
