"","2PP","2PS"
"Soil Control",0,0
"Corn Stover",9.58638115238692,6.7766235784938
"AD HLFB",10.19183509846,7.71842986390712
"C-CBP HLFB",10.3646014702853,7.7971902280929
"DASE HLFB",11.2234929204969,8.88149033599443
