"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"253",18397,2298795.84770185,952807.482287004,1737154.07108539,379622.649442942,2215976.65054074,804209.486413496,2042988.77430047,245177.129294863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",18470,2302287.30329256,955937.913317249,1744401.35584888,380579.177190027,2224547.42690071,806760.529808746,2051890.4744887,245331.923571637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",18543,2302395.49888512,957565.304047437,1751091.10993406,380843.845297048,2231970.48236974,807993.886911792,2059910.68559947,245113.167938276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",18616,2311386.923274,960274.216930378,1758784.0679999,381950.565870422,2241025.75299777,810267.904841662,2070893.46225312,246227.377639558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",18689,2333791.49237636,966672.900185508,1768272.90935874,385059.424513614,2252676.56993187,815862.781701881,2083076.27224828,249015.228125995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",18762,2345138.60438869,972024.873717746,1776511.2679379,387251.762362967,2262362.90976889,820422.960768005,2091901.70640702,250088.498777212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",18835,2348629.5170811,975154.488358598,1783758.81869508,388208.103924331,2270933.70058841,822974.111014013,2100807.67957384,250243.477340221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",18908,2348737.59935362,976781.768321217,1790449.0129461,388472.836798457,2278356.76722316,824207.243042525,2108832.05747047,250024.127120481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",18981,2357729.01567258,979490.02241424,1798141.81029835,389579.57973435,2287412.03536009,826481.33988785,2119818.89369009,251137.888414777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",19054,2380133.49647651,985890.656343192,1807630.8169743,392688.659737782,2299062.86000854,832076.333473284,2132005.69870486,253925.864035264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",19127,2391480.58392476,991242.039813643,1815869.53707744,394881.191865023,2308749.19837904,836636.577443371,2140835.02263216,254999.032958771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",19200,2394970.93298181,994368.65330409,1823117.32119313,395837.338684675,2317319.98857583,839187.971986103,2149744.83838665,255153.923430314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",19273,2395078.89918258,995996.162642088,1829807.87133407,396102.170178699,2324743.05238996,840420.309990856,2157772.97292851,254935.435246097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",19346,2404070.44658997,998704.855582486,1837501.56898635,397208.94276794,2333798.32366542,842694.627199419,2168763.45177125,256049.749739386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",19419,2426474.93364675,1005103.73668069,1846991.18305692,400318.229604122,2345449.14937133,848289.729880909,2180953.84847719,258837.961360979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",19492,2437822.08429988,1010455.40573791,1855230.33206237,402510.947963653,2355135.48272129,852850.0124849,2189786.66727025,259911.195488386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",19565,2441311.80942602,1013583.85232604,1862478.69334251,403469.389109426,2363706.27023242,855401.19637053,2198699.93362868,260066.133483229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",19638,2441419.5997953,1015213.24703937,1869169.43693229,403735.42542208,2371129.3247318,856634.894035587,2206731.45559669,259847.723917464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",19711,2450411.53306441,1017915.33661333,1876862.94787269,404842.20801221,2380184.51727768,858908.824833199,2217725.20153298,260961.343207125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",19784,2472818.64984155,1024314.86571335,1886352.49561433,407951.610775606,2391835.70618031,864504.081433859,2229918.82586164,263749.074698644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",19857,2484168.31332487,1029666.32529993,1894591.87144462,410144.444352438,2401522.03003486,869067.708306351,2238754.78513381,264822.43508053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
