"","2PP","2PS"
"Soil Control",0,0
"Corn Stover",9.64479535567336,6.85763247820566
"AD HLFB",10.244463898585,7.71613639181088
"C-CBP HLFB",10.4167556875278,7.76039561931057
"DASE HLFB",11.2608909654077,8.88017290992844
