"","2PP","2PS"
"Soil Control",0,0
"Corn Stover",0.196792189377294,5.1512014168671
"AD HLFB",1.44697968181143,9.78756714113246
"C-CBP HLFB",2.5408058245925,4.873114844037
"DASE HLFB",2.52021021191807,4.26472012287197
