"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"33",2337,1115.07109743179,1153.93213144706,964.511313031122,1038.29640388507,1102.7439417739,1157.02212541854,971.747754749604,1033.68413844015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2410,1127.49462523032,1165.65169109737,978.277416171422,1051.8573268641,1115.42875921454,1168.83424896647,988.894474430691,1052.16443961789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2483,1139.67103564697,1177.12777830283,991.721730060699,1064.99773254278,1127.85328881203,1180.37418769268,1005.60318347964,1070.11089054339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2556,1151.6064009706,1188.36829884537,1004.8578744913,1077.74089743482,1140.02534770644,1191.65442902023,1021.89042866311,1087.54167272449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2629,1163.30637849658,1199.380354333,1017.69820024475,1090.1081907469,1151.95203842974,1202.68599618431,1037.77181791044,1104.47426531298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2702,1174.77628846564,1210.17039137645,1030.25395077068,1102.11925162887,1163.63987780322,1213.47868410462,1053.26208600542,1120.92547436133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2775,1186.02117381302,1220.74432038071,1042.53540202893,1113.7921494721,1175.09489976741,1224.04125545145,1068.37515535398,1136.91146081278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2848,1197.04584637408,1231.10761030442,1054.55198347142,1125.14352888689,1186.32273753929,1234.3816036598,1083.12419220391,1152.44776728078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2921,1207.85492262223,1241.26536425766,1066.31238272671,1136.18874083263,1197.32868931032,1244.50688849988,1097.52165866377,1167.54934367099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2994,1218.45285134167,1251.22237986129,1077.82463623063,1146.9419612328,1208.11777082472,1254.42364885963,1111.5793608417,1182.23057169695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",3067,1228.84393518444,1260.98319752144,1089.09620768072,1157.41629827815,1218.69475752883,1264.13789660453,1125.30849339999,1196.50528833807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",3140,1239.03234743061,1270.55213906537,1100.13405595897,1167.62388950596,1229.06421839895,1273.65519472363,1138.71968079876,1210.38680828643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",3213,1249.02214532599,1279.933338725,1110.94469403319,1177.57598963797,1239.23054317954,1282.98072242596,1151.82301548108,1223.88794542702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",3286,1258.81728049896,1289.13076803357,1121.53424001075,1187.28305006558,1249.19796432167,1292.11932939891,1164.62809323233,1237.02103339377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",3359,1268.42160721975,1298.14825587258,1131.90846139647,1196.75479078465,1258.97057467904,1301.07558106506,1177.14404592919,1249.79794524212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",3432,1277.83888933622,1306.98950466806,1142.07281351267,1206.00026550559,1268.55234200084,1309.85379636176,1189.37957187651,1262.23011227684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",3505,1287.07280525847,1315.6581035197,1152.0324728561,1215.02792059408,1277.94712067885,1318.4580793093,1201.34296391571,1274.32854207231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3578,1296.12695271011,1324.15753887143,1161.79236608242,1223.84564843484,1287.15866126169,1326.89234541847,1213.0421354738,1286.10383572055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",3651,1305.00485236635,1332.49120324205,1171.35719521395,1232.46083575404,1296.1906183984,1335.16034380993,1224.4846447096,1297.56620434109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",3724,1313.70995108801,1340.66240241721,1180.73145958005,1240.88040738383,1305.04655739571,1343.26567576988,1235.67771690126,1308.72548488482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",3797,1322.2456245475,1348.67436138697,1189.9194749336,1249.11086590651,1313.72995967403,1351.21181034329,1246.62826520851,1319.591155263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",3870,1330.61517961702,1356.53022929803,1198.92539012538,1257.15832757336,1322.24422733694,1359.00209746435,1257.34290993279,1330.17234883071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",3943,1338.82185641019,1364.23308361856,1207.75320166622,1265.02855485533,1330.59268714854,1366.63977903849,1267.82799638874,1340.47786825334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
