"","length","c.k2...0.00374233319786208..alpha21...0.98894401825159.","c.k2...0.00201410207031257..alpha21...0.999628825651317.","c.k2...0.00304687320217333..alpha21...0.835997804784284.","c.k2...0.00104112655779668..alpha21...0.889680211742541."
"k2",5,0.00374233319786208,0.00201410207031257,0.00304687320217333,0.00104112655779668
"alpha21",5,0.98894401825159,0.999628825651317,0.835997804784284,0.889680211742541
